studytime;failures;schoolsup;famsup;paid;activities;higher;internet;absences;G1;G2;G3
2;0;1;0;0;1;1;1;0;10;11;11
2;2;0;1;0;0;0;0;0;9;10;11
1;0;0;0;0;1;1;1;8;14;14;15
3;0;0;1;0;0;1;1;4;13;12;13
3;0;0;1;0;0;1;1;0;10;11;12
2;3;0;1;0;1;0;1;10;10;9;8
1;0;0;1;0;0;1;1;8;11;10;11
1;0;0;1;0;1;1;1;6;11;12;13
1;0;0;1;0;0;1;1;2;13;12;12
1;0;0;0;0;0;1;1;12;15;13;14
1;0;0;0;0;0;1;0;4;9;9;11
1;1;0;0;0;0;1;0;12;13;11;11
2;0;0;1;0;0;1;0;2;12;11;11
3;0;0;1;0;1;1;1;4;13;14;15
2;0;0;0;0;0;1;0;2;10;9;10
2;0;0;1;0;0;1;0;0;14;13;13
1;0;0;0;0;1;1;1;2;11;11;12
3;0;0;1;0;1;1;1;10;12;11;11
1;0;0;1;0;1;1;0;8;12;11;11
1;0;0;1;0;1;1;1;4;9;9;10
2;2;0;0;0;0;1;0;0;10;10;10
1;0;0;0;0;1;1;1;6;13;14;14
1;1;0;0;0;1;1;1;2;8;9;9
4;0;1;1;0;0;1;1;6;9;11;11
2;0;0;0;0;0;1;0;24;9;8;9
3;0;0;1;0;1;1;1;0;15;13;13
1;0;0;1;0;1;1;1;4;12;11;11
3;0;0;1;0;1;1;1;2;13;13;13
1;0;0;0;0;0;1;1;4;10;11;11
1;0;0;1;0;0;1;1;22;9;7;6
2;0;0;1;0;0;1;1;0;12;12;12
1;0;0;1;0;1;0;1;0;11;10;10
2;1;0;1;0;0;1;1;2;11;11;11
2;0;0;1;0;0;1;1;6;13;12;13
2;0;0;0;0;0;1;0;6;11;11;11
1;0;0;1;0;0;0;1;16;9;9;8
1;0;0;0;0;0;1;1;0;12;11;11
1;2;0;0;0;0;0;1;0;11;9;0
1;1;0;0;0;1;1;0;6;9;10;10
3;0;0;1;1;1;1;1;2;13;13;13
1;0;0;1;0;0;0;1;6;11;9;11
1;0;1;1;0;0;1;0;0;13;13;13
2;0;1;0;1;1;1;0;0;7;8;8
1;3;0;0;0;0;1;0;14;9;8;10
1;3;0;1;0;1;1;0;6;11;10;11
1;0;0;0;0;0;1;0;4;12;10;11
2;1;0;1;0;0;1;1;0;10;10;1
1;2;0;0;0;0;1;1;0;9;8;10
1;1;0;0;1;1;0;1;8;8;8;9
2;2;1;1;0;0;1;1;4;7;6;8
1;0;0;0;0;1;1;0;2;8;9;10
1;1;0;0;0;0;0;1;2;9;8;8
2;0;0;0;0;1;0;0;0;8;8;8
1;3;0;1;0;1;0;0;10;8;7;8
2;0;0;0;0;0;0;1;0;9;10;11
2;0;0;0;0;0;1;1;0;17;17;18
2;0;0;1;0;0;1;1;0;12;12;13
2;0;0;1;0;0;1;1;0;16;16;17
1;1;0;1;0;1;1;1;4;9;9;10
2;0;0;1;0;1;1;1;0;16;17;18
2;0;0;1;0;1;1;1;0;11;9;10
2;0;0;0;0;1;1;1;0;14;13;13
2;0;0;1;0;1;1;1;0;14;14;15
2;0;0;0;0;1;1;1;0;10;11;11
2;0;0;0;0;1;1;1;0;13;12;14
2;0;0;0;0;1;1;1;4;11;9;10
1;0;0;1;0;1;1;1;8;10;9;11
2;0;0;1;1;1;1;1;4;11;11;13
2;0;0;1;1;1;1;1;4;11;10;11
2;0;0;0;0;1;1;1;0;11;12;13
2;0;0;1;0;1;1;0;0;17;18;17
2;0;0;1;0;1;1;1;32;14;13;14
2;0;0;1;0;0;1;1;8;14;15;16
2;0;0;1;0;1;1;1;6;11;13;14
1;0;0;1;0;1;1;1;0;10;9;11
2;0;0;0;0;1;1;1;0;13;14;16
2;0;0;1;0;0;1;1;10;12;13;14
2;0;0;0;0;0;1;0;6;9;9;10
2;0;0;0;0;0;1;1;6;12;12;13
2;0;0;0;0;1;1;1;0;12;11;12
2;0;0;0;0;1;1;1;16;10;11;12
1;0;0;1;0;1;1;1;0;11;10;10
1;0;0;0;0;0;1;1;0;13;12;12
2;0;0;0;0;1;1;1;8;14;15;16
1;0;0;0;0;0;1;1;4;13;13;14
1;0;0;1;0;1;1;1;16;10;11;12
1;1;0;1;0;0;1;1;30;14;15;16
2;0;0;1;0;0;1;1;0;11;10;11
2;0;0;1;0;1;1;1;2;14;14;15
2;0;1;1;0;1;1;0;4;11;12;12
2;0;0;1;0;0;1;0;0;14;15;15
1;0;0;1;0;0;1;1;21;13;13;13
4;0;0;1;0;1;1;1;6;13;13;13
3;1;0;1;1;0;1;1;14;8;9;8
2;0;0;1;0;0;1;1;2;11;11;12
2;0;0;0;0;1;1;1;4;14;15;15
1;0;0;1;0;0;1;0;2;12;13;13
3;0;0;1;0;1;1;1;0;11;12;12
4;0;0;1;0;1;1;1;4;12;12;12
2;0;0;1;0;0;1;1;15;13;12;12
2;0;1;1;0;0;1;1;0;13;13;13
2;0;0;1;0;1;1;1;10;12;11;11
1;0;0;1;0;0;1;0;6;12;11;11
2;0;0;0;0;0;1;1;2;14;16;15
2;0;0;0;0;0;1;1;16;11;9;10
2;0;0;1;0;0;1;1;10;10;10;10
1;0;0;1;0;0;1;0;4;12;13;13
3;0;0;1;0;1;1;1;0;12;12;13
2;0;0;1;0;1;1;1;0;11;10;11
3;0;0;1;0;1;1;0;12;12;12;12
2;0;1;0;0;0;1;1;0;13;13;14
2;3;0;1;1;0;1;1;9;10;9;10
3;0;0;1;0;1;1;1;4;15;16;16
2;0;0;0;0;1;1;1;4;8;8;8
2;0;0;0;0;1;1;1;2;17;18;17
2;0;0;1;0;0;1;1;0;10;11;11
2;0;1;1;0;1;1;1;2;9;10;11
3;0;0;0;0;1;1;1;0;15;15;16
2;0;0;0;0;1;1;1;0;14;12;12
2;0;0;1;0;1;1;1;0;12;13;13
2;0;1;1;0;1;1;1;0;13;13;13
2;0;0;1;0;1;1;1;0;13;13;14
2;0;0;1;0;0;1;1;2;9;9;9
3;0;0;0;0;1;1;1;0;12;12;12
2;0;0;0;0;1;1;1;0;16;16;16
1;0;0;0;0;0;1;1;4;9;10;10
2;0;0;0;0;1;1;1;0;14;13;13
2;1;0;1;0;0;1;1;18;10;10;10
2;1;0;1;0;0;1;1;16;9;8;10
1;1;0;0;0;0;0;1;14;8;7;7
1;1;0;1;0;1;0;1;26;7;8;8
1;0;0;1;0;1;1;1;6;10;8;9
2;0;0;0;0;1;1;0;4;14;14;15
3;0;0;1;0;1;1;1;10;11;10;10
1;0;0;0;0;0;0;1;4;12;11;11
2;0;0;0;0;1;1;0;2;13;13;13
1;1;0;1;0;0;1;1;14;9;9;8
2;0;0;0;0;0;0;1;16;8;7;8
1;1;0;1;0;0;0;1;8;11;9;10
3;0;0;0;0;1;1;1;4;15;14;15
2;0;0;1;0;1;1;0;4;15;14;14
2;0;0;0;0;1;1;1;8;15;15;15
2;0;0;1;0;0;1;1;0;12;12;12
1;0;0;0;0;1;1;1;7;14;14;15
1;0;0;0;1;1;1;1;4;14;15;15
2;0;0;1;1;0;1;1;2;11;11;12
3;0;0;0;0;0;1;1;2;13;14;15
3;0;0;1;0;0;1;1;10;11;11;11
2;0;1;0;0;0;1;0;10;10;9;10
3;0;0;1;0;0;1;1;10;12;10;11
1;0;0;0;0;0;1;1;7;15;16;16
2;0;0;1;0;0;1;0;4;11;10;11
1;0;0;0;0;0;1;1;2;9;12;13
1;3;0;0;0;0;0;1;12;7;8;5
2;0;0;1;0;0;1;1;8;10;9;10
1;0;0;0;0;0;1;1;0;11;12;11
1;0;0;0;0;0;0;1;8;7;8;7
2;1;1;1;0;0;1;1;4;9;11;10
1;2;0;0;0;0;0;1;4;7;8;6
1;0;0;0;0;1;1;0;2;14;13;12
1;0;0;0;0;0;1;1;0;12;12;13
1;1;0;1;0;1;1;1;0;9;10;10
2;0;0;1;0;0;1;1;2;12;12;13
4;0;0;1;0;1;1;1;2;14;15;17
2;0;0;1;0;0;1;1;0;10;10;11
2;1;0;0;0;1;0;1;4;11;10;11
3;0;0;1;0;1;1;1;2;11;12;14
3;0;0;1;0;0;1;0;4;11;12;14
2;0;1;0;0;0;1;0;4;11;11;13
2;0;0;1;0;0;1;1;4;11;13;14
2;0;0;0;0;1;1;1;2;16;16;16
1;0;0;0;0;0;0;0;0;9;10;10
4;0;0;0;0;1;1;1;2;10;11;12
2;0;0;1;1;1;0;1;8;10;12;12
2;0;0;1;0;0;1;1;2;15;15;15
2;0;0;1;0;0;1;1;2;10;10;11
3;0;0;0;0;1;1;0;2;10;11;12
3;0;0;0;0;1;1;0;2;15;12;13
3;0;0;1;0;1;1;1;0;11;12;13
1;0;0;0;0;0;0;1;8;8;8;9
2;0;0;1;0;1;1;1;6;15;16;16
2;0;0;0;0;1;1;1;0;11;11;14
2;0;0;0;0;1;1;1;8;10;11;12
2;0;0;1;0;1;1;1;4;10;12;14
2;0;0;1;0;0;0;1;12;8;9;10
2;0;0;1;0;1;1;1;16;11;12;12
4;0;0;1;0;1;1;1;10;16;16;16
2;0;0;1;0;0;1;0;2;13;13;13
2;0;0;1;0;1;1;0;2;16;17;18
2;0;0;1;0;0;1;1;8;14;14;15
2;0;0;1;0;0;1;1;6;15;16;16
2;0;1;1;0;0;1;1;6;12;12;12
2;0;0;0;0;0;0;1;15;12;9;10
1;0;0;0;0;1;1;1;6;11;12;12
2;1;1;1;0;1;1;1;2;14;12;13
3;0;0;1;0;0;1;1;8;13;15;15
2;1;1;1;0;0;0;1;0;9;8;10
1;0;0;0;0;1;1;1;0;10;10;10
1;0;0;0;0;0;0;1;10;10;10;11
1;0;0;0;0;1;1;1;22;11;11;10
1;0;0;0;0;0;1;1;18;13;13;13
4;0;0;1;0;1;1;0;2;17;17;18
2;0;1;0;0;1;1;1;0;12;13;13
2;0;0;1;0;0;1;1;12;12;12;14
2;0;0;0;0;1;1;1;10;12;13;14
2;0;0;0;0;0;1;1;0;12;12;12
3;0;0;1;0;0;1;1;0;18;18;18
3;0;0;1;0;0;1;1;0;13;13;14
3;0;0;0;0;1;1;1;0;14;15;15
2;0;0;1;0;1;1;1;0;17;17;17
2;0;0;1;0;1;1;1;2;15;16;16
3;0;0;1;0;0;1;1;0;17;18;18
4;0;0;1;0;0;1;0;0;18;19;19
3;0;0;1;0;1;1;1;0;14;15;15
1;0;0;1;0;0;1;1;0;14;15;15
2;0;0;1;0;1;1;1;2;14;13;13
2;0;0;1;0;0;1;1;0;13;14;14
4;0;0;1;0;0;1;1;0;16;17;17
1;0;0;1;0;0;1;1;0;18;18;17
2;0;0;1;1;0;1;1;0;14;15;15
1;0;0;0;0;0;1;1;0;12;13;13
3;0;0;1;0;1;1;1;0;7;7;8
3;0;0;1;0;0;1;1;0;16;16;16
4;0;0;1;0;1;1;1;0;18;18;18
3;1;0;0;0;1;1;1;0;9;10;11
1;2;0;0;0;1;1;0;0;14;15;15
2;0;0;0;0;1;1;0;0;10;10;11
2;0;1;1;0;0;1;0;2;10;10;11
2;0;0;1;0;1;1;1;2;12;12;15
2;0;0;0;0;1;1;1;2;11;12;14
1;0;0;0;0;1;1;1;2;15;16;17
3;0;0;1;0;1;1;1;2;14;15;17
1;0;0;1;0;0;1;1;8;12;12;15
3;0;0;1;0;1;1;1;2;15;15;17
2;0;0;1;0;0;1;1;8;11;12;14
2;0;0;1;0;1;1;1;9;11;10;10
2;0;0;1;0;0;1;1;0;12;11;13
1;0;0;1;0;1;1;1;4;11;12;14
1;0;0;0;0;1;1;1;2;14;15;17
2;0;0;1;0;0;1;1;14;15;14;17
2;0;1;1;0;0;1;1;0;12;12;13
2;0;0;0;0;1;1;1;2;11;12;14
1;0;0;1;0;0;1;1;2;8;9;11
3;0;0;0;0;1;0;0;12;10;10;11
2;2;0;1;0;0;1;1;2;8;8;9
1;0;0;1;0;1;1;1;2;10;10;10
2;0;0;1;0;0;1;0;4;14;13;13
3;0;0;1;0;1;1;1;0;11;11;10
3;0;0;1;0;0;1;1;0;17;18;17
3;0;0;0;0;0;1;1;0;14;14;15
3;0;0;0;0;1;1;1;0;14;14;14
3;0;0;0;0;1;1;1;0;13;14;13
1;0;0;0;0;1;1;1;0;17;18;17
1;0;0;1;0;0;1;1;2;11;10;10
3;0;0;1;0;1;1;1;0;13;12;13
3;0;0;1;0;0;1;1;4;15;14;15
1;0;0;1;1;1;1;1;2;11;12;11
4;0;0;1;1;1;1;1;0;11;11;12
1;0;0;1;0;0;1;0;0;11;10;10
2;0;0;0;0;1;1;0;2;10;9;10
3;0;0;1;0;0;1;1;0;15;15;15
1;0;0;0;0;0;1;1;6;15;14;15
2;0;0;0;0;1;1;1;8;10;11;12
2;0;0;0;0;1;1;1;0;10;9;12
4;0;0;0;0;1;1;0;6;14;13;14
3;0;0;0;0;0;1;1;8;11;13;14
2;0;0;1;0;0;1;1;0;12;13;15
4;0;0;1;0;0;1;1;4;14;14;15
2;0;0;1;0;0;1;1;0;14;14;16
2;0;0;1;0;1;1;1;0;12;12;13
2;0;0;0;0;1;1;1;6;16;16;17
2;0;0;1;0;0;1;1;18;10;12;14
3;0;0;1;0;0;1;1;0;11;12;14
3;0;0;0;0;0;1;1;4;14;16;17
3;0;0;0;0;0;1;1;4;15;14;17
3;0;0;1;0;0;1;1;0;14;13;14
3;0;0;1;0;1;1;1;0;11;12;13
2;0;0;1;0;1;1;1;10;12;15;15
2;0;0;1;0;1;1;1;4;12;16;16
1;1;0;0;0;0;0;1;16;10;11;11
1;1;0;1;1;0;1;1;6;10;13;13
3;2;0;0;1;1;1;1;0;9;12;12
2;0;0;1;0;1;0;1;11;9;11;12
2;0;0;0;0;1;1;1;9;13;14;15
2;0;0;1;0;1;1;1;0;13;17;17
3;0;0;1;0;0;1;1;2;12;15;15
2;0;0;1;0;1;1;1;0;14;17;17
2;2;0;1;0;1;0;1;21;9;10;10
3;0;0;0;0;0;1;1;8;11;15;15
1;1;0;1;0;0;1;1;5;9;10;11
2;0;0;1;0;0;1;1;10;16;18;18
3;0;0;1;0;0;1;1;5;14;17;17
1;0;0;0;0;0;1;1;13;13;14;14
1;0;0;0;0;0;1;1;10;7;11;11
2;0;0;1;0;0;1;1;10;14;17;17
1;1;1;0;0;0;1;1;5;8;10;10
2;0;0;1;0;1;1;1;4;10;13;13
1;0;0;1;0;0;0;1;11;10;11;11
2;0;0;1;0;1;1;1;0;12;12;12
1;1;0;1;0;0;1;0;6;10;10;10
1;0;0;1;0;0;1;1;4;10;10;11
2;0;0;0;0;0;1;0;0;16;17;17
1;0;0;0;0;0;0;0;0;6;8;9
2;0;0;1;0;0;1;0;5;10;11;11
3;0;1;0;0;0;1;1;0;10;11;11
2;1;0;0;0;0;1;0;0;10;10;10
1;1;0;1;0;0;0;1;0;6;6;7
1;0;0;0;0;0;1;1;0;13;14;14
4;0;0;0;0;1;0;0;4;10;9;11
2;0;0;1;0;0;1;1;0;10;10;10
1;1;0;1;0;0;1;1;4;6;7;8
1;0;0;1;0;1;1;0;0;12;11;12
1;0;0;1;0;0;1;1;2;10;11;12
1;0;0;0;0;0;1;1;0;14;16;16
2;0;0;1;0;1;1;0;0;7;0;0
2;0;0;0;1;0;1;1;4;8;9;9
2;0;0;1;0;1;1;1;0;12;13;14
2;0;0;1;0;1;1;1;7;7;9;8
2;0;0;0;0;0;1;0;4;9;10;11
2;0;0;1;0;1;1;0;8;7;9;9
2;0;0;1;0;1;1;1;0;11;11;11
1;0;0;0;0;1;0;0;8;8;10;9
3;0;0;0;0;1;1;1;6;16;16;17
1;0;0;0;0;0;1;0;3;11;13;13
2;0;0;1;0;0;1;1;2;15;15;15
2;0;0;0;0;0;1;0;0;10;11;11
2;0;0;1;0;0;1;1;4;9;10;11
3;1;0;1;0;0;1;0;0;10;8;8
3;1;0;1;0;0;1;0;3;9;8;8
2;0;1;1;0;0;1;1;0;9;10;9
2;0;0;1;0;0;1;0;0;13;14;15
1;0;0;1;0;1;1;1;4;10;11;11
4;0;0;1;0;0;1;1;0;13;10;13
3;0;1;1;0;0;1;0;2;10;9;10
2;0;0;1;0;1;1;1;1;11;10;11
1;0;0;0;0;1;1;1;0;13;12;14
2;0;0;1;0;0;1;0;0;13;14;14
3;0;1;1;0;0;1;0;2;14;11;12
1;0;0;0;0;1;1;0;6;11;11;11
2;1;0;1;0;1;1;1;9;9;8;8
1;0;0;1;0;0;1;0;0;10;9;11
2;0;0;1;0;1;1;1;1;14;13;14
1;0;0;0;0;0;1;0;1;13;12;13
2;0;0;1;0;1;1;0;0;13;12;13
2;0;0;1;0;0;1;1;4;13;12;12
2;1;0;1;0;1;1;0;2;12;11;12
1;0;0;1;0;1;1;0;0;14;14;16
1;0;0;1;0;1;1;1;4;10;8;10
1;0;0;1;0;1;1;1;2;10;11;11
3;0;0;1;0;1;1;0;0;12;13;14
1;0;0;1;0;0;1;1;2;10;8;8
1;0;0;1;0;1;1;1;11;12;10;11
2;3;1;1;0;0;1;0;0;7;7;8
1;0;0;1;0;1;0;0;4;9;9;10
1;1;0;0;0;0;0;1;0;9;9;10
1;0;0;1;0;1;0;0;2;9;10;11
1;0;0;1;0;0;0;0;0;9;10;9
2;0;0;1;0;0;0;1;1;9;10;11
1;0;0;1;0;0;0;0;6;7;7;8
2;0;0;1;0;0;1;1;0;11;10;11
1;1;0;1;1;1;1;1;1;9;10;10
3;2;0;1;0;0;0;0;6;7;9;10
3;1;0;0;0;1;0;0;6;7;9;9
1;1;0;0;0;1;0;1;0;8;9;10
1;1;0;0;0;0;0;1;4;9;11;10
2;1;0;1;0;0;1;1;12;7;8;9
2;0;0;0;0;0;1;0;2;8;10;10
1;0;0;0;0;1;1;0;5;9;9;10
2;0;0;0;0;1;0;1;0;8;9;9
1;0;0;0;0;1;0;1;0;14;13;13
1;0;0;1;0;1;1;1;2;14;14;14
4;1;0;1;1;1;1;0;0;10;11;10
2;0;0;1;0;1;1;1;0;14;13;14
1;0;0;1;1;1;1;0;0;17;16;16
1;1;0;1;0;1;0;1;12;6;7;7
1;0;0;0;0;1;1;1;8;14;12;13
4;1;0;1;0;0;1;0;2;10;8;9
4;0;1;1;0;1;1;1;0;14;14;14
3;0;0;0;0;0;1;1;0;12;13;13
1;0;0;1;0;1;1;1;0;11;11;11
2;1;0;0;0;1;1;1;8;11;9;10
3;0;0;1;0;0;1;0;0;11;11;10
1;1;0;1;0;0;1;1;0;10;9;9
2;0;0;1;0;0;1;0;0;16;17;18
2;0;0;1;0;1;1;0;0;15;17;17
2;0;0;0;0;0;1;1;1;11;9;10
2;1;0;1;0;0;1;1;9;7;7;7
1;0;0;0;0;1;1;1;0;8;6;8
1;0;0;0;0;0;1;1;2;7;6;7
2;0;1;0;0;0;1;0;8;9;8;10
2;0;0;0;0;1;1;1;0;14;16;16
1;0;0;0;0;1;1;1;0;14;14;15
2;1;0;1;0;0;1;1;8;8;5;8
2;0;0;0;0;1;1;1;0;8;7;0
2;0;0;1;0;0;1;1;6;6;8;8
2;0;0;1;0;1;1;1;0;8;10;10
2;0;0;1;0;0;1;1;4;8;8;8
4;0;0;1;0;1;0;1;2;5;6;6
2;0;0;1;0;0;1;0;2;7;9;8
3;0;0;1;0;0;1;1;0;15;14;16
1;0;0;0;0;0;1;1;1;13;14;14
3;0;0;0;0;0;1;0;0;10;9;10
1;0;0;1;1;0;1;1;5;9;9;9
1;0;0;1;0;0;1;0;1;11;11;11
1;0;0;1;0;1;1;1;8;7;10;9
2;0;0;0;0;0;1;1;0;10;10;10
2;0;0;0;0;0;1;1;2;9;7;8
2;0;0;0;0;0;1;1;0;14;15;16
1;0;0;1;0;0;1;1;0;11;12;12
2;0;0;1;0;1;1;0;11;9;11;10
4;0;0;1;0;1;1;0;8;13;14;14
1;0;0;0;0;1;1;1;11;12;13;12
3;0;0;1;0;0;1;0;2;11;11;11
2;0;0;1;0;1;1;1;8;9;10;10
1;0;0;0;0;0;1;0;5;9;11;11
2;0;1;0;1;0;1;0;0;11;9;11
3;0;0;1;0;0;1;1;1;10;11;12
1;3;0;0;0;1;1;1;2;9;9;8
1;0;0;0;0;1;1;0;2;12;11;12
2;1;0;1;0;1;1;1;8;8;9;8
2;0;0;1;0;0;1;1;0;13;15;16
1;0;0;0;0;0;1;1;0;10;11;11
2;0;0;0;0;1;1;1;2;11;10;11
2;0;1;1;0;0;1;1;0;17;18;18
2;0;0;1;0;0;1;1;0;12;13;13
2;0;0;1;1;0;1;1;0;13;14;13
2;2;0;1;0;1;0;1;2;9;9;10
1;0;0;0;0;0;1;0;4;11;11;12
1;0;0;1;0;1;0;1;3;10;11;10
3;0;1;1;0;0;1;1;5;13;14;13
1;0;0;0;0;0;1;0;4;9;10;11
2;3;0;1;0;1;1;1;2;7;9;10
1;0;0;0;0;1;0;0;0;8;13;10
1;1;1;1;0;0;1;0;0;12;12;13
1;0;0;1;0;1;1;1;0;10;9;10
2;0;0;1;0;1;1;0;6;10;9;10
2;0;0;0;0;1;1;0;0;11;13;12
1;1;0;0;0;1;1;0;0;7;0;0
1;0;0;0;0;0;1;1;2;11;9;10
1;0;0;0;0;1;1;1;0;10;10;9
1;1;0;1;0;0;0;1;2;9;7;9
1;1;0;0;0;0;0;1;0;4;0;0
1;3;0;0;0;1;1;0;4;6;11;9
2;2;0;1;0;1;0;1;9;4;8;8
1;0;0;1;0;1;1;1;6;7;8;8
1;3;0;0;0;1;0;1;4;8;9;9
2;2;0;1;0;1;1;0;8;5;5;7
1;0;0;1;0;1;1;0;9;7;9;10
1;1;0;1;0;0;0;1;12;8;11;10
1;0;0;1;0;0;1;1;8;10;11;10
1;0;0;1;0;0;1;1;8;9;10;11
2;1;0;0;0;0;1;1;8;10;9;11
2;1;0;1;0;0;1;1;4;8;9;10
